"","date","borough","syndrome","Ages 0-4 years","Ages 18-64 years","Ages 5-17 years","Ages 65+ years","All age groups","o65","u5","dow","epiyr","jul1.date","day.index"
"1760",2016-09-08,"Citywide","Respiratory",104,526,51,231,912,231,104,"Thursday",2016,2016-07-01,69
"1767",2016-09-09,"Citywide","Respiratory",97,506,74,246,923,246,97,"Friday",2016,2016-07-01,70
"1774",2016-09-10,"Citywide","Respiratory",98,440,60,185,783,185,98,"Saturday",2016,2016-07-01,71
"1781",2016-09-11,"Citywide","Respiratory",96,426,78,179,779,179,96,"Sunday",2016,2016-07-01,72
"1788",2016-09-12,"Citywide","Respiratory",139,567,85,247,1038,247,139,"Monday",2016,2016-07-01,73
"1795",2016-09-13,"Citywide","Respiratory",119,541,111,237,1008,237,119,"Tuesday",2016,2016-07-01,74
"1802",2016-09-14,"Citywide","Respiratory",101,511,98,238,948,238,101,"Wednesday",2016,2016-07-01,75
"1809",2016-09-15,"Citywide","Respiratory",138,473,91,230,932,230,138,"Thursday",2016,2016-07-01,76
"1816",2016-09-16,"Citywide","Respiratory",114,517,96,224,951,224,114,"Friday",2016,2016-07-01,77
"1823",2016-09-17,"Citywide","Respiratory",118,454,100,171,843,171,118,"Saturday",2016,2016-07-01,78
"1830",2016-09-18,"Citywide","Respiratory",156,446,125,196,923,196,156,"Sunday",2016,2016-07-01,79
"1837",2016-09-19,"Citywide","Respiratory",154,559,166,252,1131,252,154,"Monday",2016,2016-07-01,80
"1844",2016-09-20,"Citywide","Respiratory",176,642,180,272,1270,272,176,"Tuesday",2016,2016-07-01,81
"1851",2016-09-21,"Citywide","Respiratory",169,517,173,244,1103,244,169,"Wednesday",2016,2016-07-01,82
"1858",2016-09-22,"Citywide","Respiratory",186,530,160,241,1117,241,186,"Thursday",2016,2016-07-01,83
"1865",2016-09-23,"Citywide","Respiratory",175,511,192,192,1070,192,175,"Friday",2016,2016-07-01,84
"1872",2016-09-24,"Citywide","Respiratory",199,475,166,175,1015,175,199,"Saturday",2016,2016-07-01,85
"1879",2016-09-25,"Citywide","Respiratory",213,442,199,186,1040,186,213,"Sunday",2016,2016-07-01,86
"1886",2016-09-26,"Citywide","Respiratory",249,648,268,274,1439,274,249,"Monday",2016,2016-07-01,87
"1893",2016-09-27,"Citywide","Respiratory",213,646,254,268,1381,268,213,"Tuesday",2016,2016-07-01,88
"1900",2016-09-28,"Citywide","Respiratory",191,574,213,233,1211,233,191,"Wednesday",2016,2016-07-01,89
"1907",2016-09-29,"Citywide","Respiratory",184,517,188,211,1100,211,184,"Thursday",2016,2016-07-01,90
"1914",2016-09-30,"Citywide","Respiratory",184,505,143,218,1050,218,184,"Friday",2016,2016-07-01,91
"1921",2016-10-01,"Citywide","Respiratory",176,458,135,200,969,200,176,"Saturday",2016,2016-07-01,92
"1928",2016-10-02,"Citywide","Respiratory",216,469,156,183,1024,183,216,"Sunday",2016,2016-07-01,93
"1935",2016-10-03,"Citywide","Respiratory",227,642,191,282,1342,282,227,"Monday",2016,2016-07-01,94
"1942",2016-10-04,"Citywide","Respiratory",198,614,170,243,1225,243,198,"Tuesday",2016,2016-07-01,95
"1949",2016-10-05,"Citywide","Respiratory",227,668,209,245,1349,245,227,"Wednesday",2016,2016-07-01,96
"1956",2016-10-06,"Citywide","Respiratory",192,603,143,263,1201,263,192,"Thursday",2016,2016-07-01,97
"1963",2016-10-07,"Citywide","Respiratory",188,555,132,267,1142,267,188,"Friday",2016,2016-07-01,98
"1970",2016-10-08,"Citywide","Respiratory",217,532,112,245,1106,245,217,"Saturday",2016,2016-07-01,99
"1977",2016-10-09,"Citywide","Respiratory",198,491,111,210,1010,210,198,"Sunday",2016,2016-07-01,100
"1984",2016-10-10,"Citywide","Respiratory",234,639,121,311,1305,311,234,"Monday",2016,2016-07-01,101
"1991",2016-10-11,"Citywide","Respiratory",233,632,181,299,1345,299,233,"Tuesday",2016,2016-07-01,102
"1998",2016-10-12,"Citywide","Respiratory",229,620,145,287,1281,287,229,"Wednesday",2016,2016-07-01,103
"2005",2016-10-13,"Citywide","Respiratory",224,630,150,289,1293,289,224,"Thursday",2016,2016-07-01,104
"2012",2016-10-14,"Citywide","Respiratory",181,514,120,233,1048,233,181,"Friday",2016,2016-07-01,105
"2019",2016-10-15,"Citywide","Respiratory",185,512,120,210,1027,210,185,"Saturday",2016,2016-07-01,106
"2026",2016-10-16,"Citywide","Respiratory",230,538,143,236,1147,236,230,"Sunday",2016,2016-07-01,107
"2033",2016-10-17,"Citywide","Respiratory",240,780,181,352,1553,352,240,"Monday",2016,2016-07-01,108
"2040",2016-10-18,"Citywide","Respiratory",218,684,172,334,1408,334,218,"Tuesday",2016,2016-07-01,109
"2047",2016-10-19,"Citywide","Respiratory",190,645,159,292,1286,292,190,"Wednesday",2016,2016-07-01,110
"2054",2016-10-20,"Citywide","Respiratory",237,588,138,258,1221,258,237,"Thursday",2016,2016-07-01,111
"2061",2016-10-21,"Citywide","Respiratory",210,618,140,296,1264,296,210,"Friday",2016,2016-07-01,112
"2068",2016-10-22,"Citywide","Respiratory",217,471,116,204,1008,204,217,"Saturday",2016,2016-07-01,113
"2075",2016-10-23,"Citywide","Respiratory",243,499,155,224,1121,224,243,"Sunday",2016,2016-07-01,114
"2082",2016-10-24,"Citywide","Respiratory",264,682,217,300,1463,300,264,"Monday",2016,2016-07-01,115
"2089",2016-10-25,"Citywide","Respiratory",222,591,188,256,1257,256,222,"Tuesday",2016,2016-07-01,116
"2096",2016-10-26,"Citywide","Respiratory",235,592,163,262,1252,262,235,"Wednesday",2016,2016-07-01,117
"2103",2016-10-27,"Citywide","Respiratory",188,506,152,229,1075,229,188,"Thursday",2016,2016-07-01,118
"2110",2016-10-28,"Citywide","Respiratory",186,519,146,251,1102,251,186,"Friday",2016,2016-07-01,119
"2117",2016-10-29,"Citywide","Respiratory",213,448,128,193,982,193,213,"Saturday",2016,2016-07-01,120
"2124",2016-10-30,"Citywide","Respiratory",235,516,159,227,1137,227,235,"Sunday",2016,2016-07-01,121
"2131",2016-10-31,"Citywide","Respiratory",208,610,170,285,1273,285,208,"Monday",2016,2016-07-01,122
"2138",2016-11-01,"Citywide","Respiratory",256,588,198,273,1315,273,256,"Tuesday",2016,2016-07-01,123
"2145",2016-11-02,"Citywide","Respiratory",264,605,167,253,1289,253,264,"Wednesday",2016,2016-07-01,124
"2152",2016-11-03,"Citywide","Respiratory",267,579,158,259,1263,259,267,"Thursday",2016,2016-07-01,125
"2159",2016-11-04,"Citywide","Respiratory",233,539,166,259,1197,259,233,"Friday",2016,2016-07-01,126
"2166",2016-11-05,"Citywide","Respiratory",277,499,154,217,1147,217,277,"Saturday",2016,2016-07-01,127
"2173",2016-11-06,"Citywide","Respiratory",257,477,174,231,1139,231,257,"Sunday",2016,2016-07-01,128
"2180",2016-11-07,"Citywide","Respiratory",310,640,210,272,1432,272,310,"Monday",2016,2016-07-01,129
"2187",2016-11-08,"Citywide","Respiratory",255,540,188,248,1231,248,255,"Tuesday",2016,2016-07-01,130
"2194",2016-11-09,"Citywide","Respiratory",273,601,207,245,1326,245,273,"Wednesday",2016,2016-07-01,131
"2201",2016-11-10,"Citywide","Respiratory",283,578,172,283,1316,283,283,"Thursday",2016,2016-07-01,132
"2208",2016-11-11,"Citywide","Respiratory",279,535,167,278,1259,278,279,"Friday",2016,2016-07-01,133
"2215",2016-11-12,"Citywide","Respiratory",283,514,166,217,1180,217,283,"Saturday",2016,2016-07-01,134
"2222",2016-11-13,"Citywide","Respiratory",312,499,180,225,1216,225,312,"Sunday",2016,2016-07-01,135
"2229",2016-11-14,"Citywide","Respiratory",354,680,210,333,1577,333,354,"Monday",2016,2016-07-01,136
"2236",2016-11-15,"Citywide","Respiratory",265,566,185,253,1269,253,265,"Tuesday",2016,2016-07-01,137
"2243",2016-11-16,"Citywide","Respiratory",327,610,189,289,1415,289,327,"Wednesday",2016,2016-07-01,138
"2250",2016-11-17,"Citywide","Respiratory",293,604,170,247,1314,247,293,"Thursday",2016,2016-07-01,139
"2257",2016-11-18,"Citywide","Respiratory",297,536,163,279,1275,279,297,"Friday",2016,2016-07-01,140
"2264",2016-11-19,"Citywide","Respiratory",292,559,150,252,1253,252,292,"Saturday",2016,2016-07-01,141
"2271",2016-11-20,"Citywide","Respiratory",307,491,141,235,1174,235,307,"Sunday",2016,2016-07-01,142
"2278",2016-11-21,"Citywide","Respiratory",327,654,200,264,1445,264,327,"Monday",2016,2016-07-01,143
"2285",2016-11-22,"Citywide","Respiratory",295,542,207,231,1275,231,295,"Tuesday",2016,2016-07-01,144
"2292",2016-11-23,"Citywide","Respiratory",310,477,135,231,1153,231,310,"Wednesday",2016,2016-07-01,145
"2299",2016-11-24,"Citywide","Respiratory",267,367,123,165,922,165,267,"Thursday",2016,2016-07-01,146
"2306",2016-11-25,"Citywide","Respiratory",361,596,173,315,1445,315,361,"Friday",2016,2016-07-01,147
"2313",2016-11-26,"Citywide","Respiratory",356,581,179,284,1400,284,356,"Saturday",2016,2016-07-01,148
"2320",2016-11-27,"Citywide","Respiratory",403,552,194,244,1393,244,403,"Sunday",2016,2016-07-01,149
"2327",2016-11-28,"Citywide","Respiratory",408,704,279,328,1719,328,408,"Monday",2016,2016-07-01,150
"2334",2016-11-29,"Citywide","Respiratory",331,655,236,273,1495,273,331,"Tuesday",2016,2016-07-01,151
"2341",2016-11-30,"Citywide","Respiratory",361,616,188,286,1451,286,361,"Wednesday",2016,2016-07-01,152
"2348",2016-12-01,"Citywide","Respiratory",342,652,211,293,1498,293,342,"Thursday",2016,2016-07-01,153
"2355",2016-12-02,"Citywide","Respiratory",352,619,178,292,1441,292,352,"Friday",2016,2016-07-01,154
"2362",2016-12-03,"Citywide","Respiratory",356,520,145,239,1260,239,356,"Saturday",2016,2016-07-01,155
"2369",2016-12-04,"Citywide","Respiratory",407,542,212,232,1393,232,407,"Sunday",2016,2016-07-01,156
"2376",2016-12-05,"Citywide","Respiratory",420,662,269,321,1672,321,420,"Monday",2016,2016-07-01,157
"2383",2016-12-06,"Citywide","Respiratory",371,658,271,273,1573,273,371,"Tuesday",2016,2016-07-01,158
"2390",2016-12-07,"Citywide","Respiratory",348,619,222,277,1466,277,348,"Wednesday",2016,2016-07-01,159
"2397",2016-12-08,"Citywide","Respiratory",361,569,198,272,1400,272,361,"Thursday",2016,2016-07-01,160
"2404",2016-12-09,"Citywide","Respiratory",361,511,165,277,1314,277,361,"Friday",2016,2016-07-01,161
"2411",2016-12-10,"Citywide","Respiratory",362,458,175,206,1201,206,362,"Saturday",2016,2016-07-01,162
"2418",2016-12-11,"Citywide","Respiratory",373,511,233,229,1346,229,373,"Sunday",2016,2016-07-01,163
"2425",2016-12-12,"Citywide","Respiratory",403,707,328,321,1759,321,403,"Monday",2016,2016-07-01,164
"2432",2016-12-13,"Citywide","Respiratory",411,642,323,290,1666,290,411,"Tuesday",2016,2016-07-01,165
"2439",2016-12-14,"Citywide","Respiratory",382,647,313,300,1642,300,382,"Wednesday",2016,2016-07-01,166
"2446",2016-12-15,"Citywide","Respiratory",390,605,231,235,1461,235,390,"Thursday",2016,2016-07-01,167
"2453",2016-12-16,"Citywide","Respiratory",319,609,220,256,1404,256,319,"Friday",2016,2016-07-01,168
"2460",2016-12-17,"Citywide","Respiratory",337,541,201,206,1285,206,337,"Saturday",2016,2016-07-01,169
"2467",2016-12-18,"Citywide","Respiratory",397,610,310,300,1617,300,397,"Sunday",2016,2016-07-01,170
"2474",2016-12-19,"Citywide","Respiratory",423,707,341,333,1804,333,423,"Monday",2016,2016-07-01,171
"2481",2016-12-20,"Citywide","Respiratory",401,706,354,281,1742,281,401,"Tuesday",2016,2016-07-01,172
"2488",2016-12-21,"Citywide","Respiratory",403,719,321,305,1748,305,403,"Wednesday",2016,2016-07-01,173
"2495",2016-12-22,"Citywide","Respiratory",381,682,327,292,1682,292,381,"Thursday",2016,2016-07-01,174
"2502",2016-12-23,"Citywide","Respiratory",406,658,304,287,1655,287,406,"Friday",2016,2016-07-01,175
"2509",2016-12-24,"Citywide","Respiratory",343,521,283,272,1419,272,343,"Saturday",2016,2016-07-01,176
"2516",2016-12-25,"Citywide","Respiratory",392,648,376,268,1684,268,392,"Sunday",2016,2016-07-01,177
"2523",2016-12-26,"Citywide","Respiratory",593,1004,541,430,2568,430,593,"Monday",2016,2016-07-01,178
"2530",2016-12-27,"Citywide","Respiratory",513,1027,446,469,2455,469,513,"Tuesday",2016,2016-07-01,179
"2537",2016-12-28,"Citywide","Respiratory",515,939,430,402,2286,402,515,"Wednesday",2016,2016-07-01,180
"2544",2016-12-29,"Citywide","Respiratory",444,906,329,399,2078,399,444,"Thursday",2016,2016-07-01,181
"2551",2016-12-30,"Citywide","Respiratory",453,870,296,418,2037,418,453,"Friday",2016,2016-07-01,182
"2558",2016-12-31,"Citywide","Respiratory",388,670,205,328,1591,328,388,"Saturday",2016,2016-07-01,183
"2565",2017-01-01,"Citywide","Respiratory",484,779,260,348,1871,348,484,"Sunday",2016,2016-07-01,184
"2572",2017-01-02,"Citywide","Respiratory",558,1018,275,438,2289,438,558,"Monday",2016,2016-07-01,185
"2579",2017-01-03,"Citywide","Respiratory",381,1043,299,434,2157,434,381,"Tuesday",2016,2016-07-01,186
"2586",2017-01-04,"Citywide","Respiratory",391,997,261,441,2090,441,391,"Wednesday",2016,2016-07-01,187
"2593",2017-01-05,"Citywide","Respiratory",315,867,212,395,1789,395,315,"Thursday",2016,2016-07-01,188
"2600",2017-01-06,"Citywide","Respiratory",278,784,180,345,1587,345,278,"Friday",2016,2016-07-01,189
"2607",2017-01-07,"Citywide","Respiratory",247,612,135,284,1278,284,247,"Saturday",2016,2016-07-01,190
"2614",2017-01-08,"Citywide","Respiratory",316,677,226,276,1495,276,316,"Sunday",2016,2016-07-01,191
"2621",2017-01-09,"Citywide","Respiratory",299,933,308,388,1928,388,299,"Monday",2016,2016-07-01,192
"2628",2017-01-10,"Citywide","Respiratory",266,861,302,357,1786,357,266,"Tuesday",2016,2016-07-01,193
"2635",2017-01-11,"Citywide","Respiratory",248,909,239,394,1790,394,248,"Wednesday",2016,2016-07-01,194
"2642",2017-01-12,"Citywide","Respiratory",280,864,261,369,1774,369,280,"Thursday",2016,2016-07-01,195
"2649",2017-01-13,"Citywide","Respiratory",260,784,244,353,1641,353,260,"Friday",2016,2016-07-01,196
"2656",2017-01-14,"Citywide","Respiratory",270,614,245,315,1444,315,270,"Saturday",2016,2016-07-01,197
"2663",2017-01-15,"Citywide","Respiratory",312,704,322,306,1644,306,312,"Sunday",2016,2016-07-01,198
"2670",2017-01-16,"Citywide","Respiratory",337,823,386,399,1945,399,337,"Monday",2016,2016-07-01,199
"2677",2017-01-17,"Citywide","Respiratory",320,853,436,375,1984,375,320,"Tuesday",2016,2016-07-01,200
"2684",2017-01-18,"Citywide","Respiratory",308,853,340,353,1854,353,308,"Wednesday",2016,2016-07-01,201
"2691",2017-01-19,"Citywide","Respiratory",307,781,317,426,1831,426,307,"Thursday",2016,2016-07-01,202
"2698",2017-01-20,"Citywide","Respiratory",282,803,241,386,1712,386,282,"Friday",2016,2016-07-01,203
"2705",2017-01-21,"Citywide","Respiratory",310,685,272,365,1632,365,310,"Saturday",2016,2016-07-01,204
"2712",2017-01-22,"Citywide","Respiratory",297,706,307,303,1613,303,297,"Sunday",2016,2016-07-01,205
"2719",2017-01-23,"Citywide","Respiratory",292,857,359,382,1890,382,292,"Monday",2016,2016-07-01,206
"2726",2017-01-24,"Citywide","Respiratory",266,742,308,334,1650,334,266,"Tuesday",2016,2016-07-01,207
"2733",2017-01-25,"Citywide","Respiratory",269,801,325,396,1791,396,269,"Wednesday",2016,2016-07-01,208
"2740",2017-01-26,"Citywide","Respiratory",290,705,312,378,1685,378,290,"Thursday",2016,2016-07-01,209
"2747",2017-01-27,"Citywide","Respiratory",294,698,268,338,1598,338,294,"Friday",2016,2016-07-01,210
"2754",2017-01-28,"Citywide","Respiratory",274,620,237,295,1426,295,274,"Saturday",2016,2016-07-01,211
"2761",2017-01-29,"Citywide","Respiratory",282,651,322,287,1542,287,282,"Sunday",2016,2016-07-01,212
"2768",2017-01-30,"Citywide","Respiratory",309,759,386,359,1813,359,309,"Monday",2016,2016-07-01,213
"2775",2017-01-31,"Citywide","Respiratory",254,684,313,317,1568,317,254,"Tuesday",2016,2016-07-01,214
"2782",2017-02-01,"Citywide","Respiratory",263,731,267,324,1585,324,263,"Wednesday",2016,2016-07-01,215
"2789",2017-02-02,"Citywide","Respiratory",223,725,247,311,1506,311,223,"Thursday",2016,2016-07-01,216
"2796",2017-02-03,"Citywide","Respiratory",252,645,245,308,1450,308,252,"Friday",2016,2016-07-01,217
"2803",2017-02-04,"Citywide","Respiratory",252,641,208,308,1409,308,252,"Saturday",2016,2016-07-01,218
"2810",2017-02-05,"Citywide","Respiratory",285,568,289,277,1419,277,285,"Sunday",2016,2016-07-01,219
"2817",2017-02-06,"Citywide","Respiratory",247,777,324,336,1684,336,247,"Monday",2016,2016-07-01,220
"2824",2017-02-07,"Citywide","Respiratory",276,799,355,324,1754,324,276,"Tuesday",2016,2016-07-01,221
"2831",2017-02-08,"Citywide","Respiratory",288,761,339,389,1777,389,288,"Wednesday",2016,2016-07-01,222
"2838",2017-02-09,"Citywide","Respiratory",174,506,158,187,1025,187,174,"Thursday",2016,2016-07-01,223
"2845",2017-02-10,"Citywide","Respiratory",249,684,215,325,1473,325,249,"Friday",2016,2016-07-01,224
"2852",2017-02-11,"Citywide","Respiratory",276,655,217,327,1475,327,276,"Saturday",2016,2016-07-01,225
"2859",2017-02-12,"Citywide","Respiratory",306,585,201,227,1319,227,306,"Sunday",2016,2016-07-01,226
"2866",2017-02-13,"Citywide","Respiratory",252,757,230,335,1574,335,252,"Monday",2016,2016-07-01,227
"2873",2017-02-14,"Citywide","Respiratory",232,693,188,307,1420,307,232,"Tuesday",2016,2016-07-01,228
"2880",2017-02-15,"Citywide","Respiratory",237,774,207,360,1578,360,237,"Wednesday",2016,2016-07-01,229
"2887",2017-02-16,"Citywide","Respiratory",196,682,169,311,1358,311,196,"Thursday",2016,2016-07-01,230
"2894",2017-02-17,"Citywide","Respiratory",221,657,184,303,1365,303,221,"Friday",2016,2016-07-01,231
"2901",2017-02-18,"Citywide","Respiratory",218,597,152,271,1238,271,218,"Saturday",2016,2016-07-01,232
"2908",2017-02-19,"Citywide","Respiratory",267,605,195,274,1341,274,267,"Sunday",2016,2016-07-01,233
"2915",2017-02-20,"Citywide","Respiratory",246,685,210,352,1493,352,246,"Monday",2016,2016-07-01,234
"2922",2017-02-21,"Citywide","Respiratory",215,710,189,358,1472,358,215,"Tuesday",2016,2016-07-01,235
"2929",2017-02-22,"Citywide","Respiratory",256,683,175,362,1476,362,256,"Wednesday",2016,2016-07-01,236
"2936",2017-02-23,"Citywide","Respiratory",208,690,112,317,1327,317,208,"Thursday",2016,2016-07-01,237
"2943",2017-02-24,"Citywide","Respiratory",196,550,131,350,1227,350,196,"Friday",2016,2016-07-01,238
"2950",2017-02-25,"Citywide","Respiratory",214,495,102,311,1122,311,214,"Saturday",2016,2016-07-01,239
"2957",2017-02-26,"Citywide","Respiratory",219,506,117,262,1104,262,219,"Sunday",2016,2016-07-01,240
"2964",2017-02-27,"Citywide","Respiratory",230,637,146,318,1331,318,230,"Monday",2016,2016-07-01,241
"2971",2017-02-28,"Citywide","Respiratory",211,663,126,296,1296,296,211,"Tuesday",2016,2016-07-01,242
"2978",2017-03-01,"Citywide","Respiratory",208,610,112,277,1207,277,208,"Wednesday",2016,2016-07-01,243
"2985",2017-03-02,"Citywide","Respiratory",173,596,99,297,1165,297,173,"Thursday",2016,2016-07-01,244
"2992",2017-03-03,"Citywide","Respiratory",188,507,99,245,1039,245,188,"Friday",2016,2016-07-01,245
"2999",2017-03-04,"Citywide","Respiratory",178,507,91,223,999,223,178,"Saturday",2016,2016-07-01,246
"3006",2017-03-05,"Citywide","Respiratory",172,509,91,216,988,216,172,"Sunday",2016,2016-07-01,247
"3013",2017-03-06,"Citywide","Respiratory",214,646,163,293,1316,293,214,"Monday",2016,2016-07-01,248
"3020",2017-03-07,"Citywide","Respiratory",198,654,141,266,1259,266,198,"Tuesday",2016,2016-07-01,249
"3027",2017-03-08,"Citywide","Respiratory",171,585,136,301,1193,301,171,"Wednesday",2016,2016-07-01,250
"3034",2017-03-09,"Citywide","Respiratory",187,632,135,290,1244,290,187,"Thursday",2016,2016-07-01,251
"3041",2017-03-10,"Citywide","Respiratory",167,543,116,253,1079,253,167,"Friday",2016,2016-07-01,252
"3048",2017-03-11,"Citywide","Respiratory",197,468,108,226,999,226,197,"Saturday",2016,2016-07-01,253
"3055",2017-03-12,"Citywide","Respiratory",209,453,146,242,1050,242,209,"Sunday",2016,2016-07-01,254
"3062",2017-03-13,"Citywide","Respiratory",230,672,171,334,1407,334,230,"Monday",2016,2016-07-01,255
"3069",2017-03-14,"Citywide","Respiratory",156,359,75,139,729,139,156,"Tuesday",2016,2016-07-01,256
"3076",2017-03-15,"Citywide","Respiratory",206,650,197,259,1312,259,206,"Wednesday",2016,2016-07-01,257
"3083",2017-03-16,"Citywide","Respiratory",169,621,156,305,1251,305,169,"Thursday",2016,2016-07-01,258
"3090",2017-03-17,"Citywide","Respiratory",188,602,157,297,1244,297,188,"Friday",2016,2016-07-01,259
"3097",2017-03-18,"Citywide","Respiratory",170,573,121,236,1100,236,170,"Saturday",2016,2016-07-01,260
"3104",2017-03-19,"Citywide","Respiratory",196,534,148,224,1102,224,196,"Sunday",2016,2016-07-01,261
"3111",2017-03-20,"Citywide","Respiratory",241,730,228,336,1535,336,241,"Monday",2016,2016-07-01,262
"3118",2017-03-21,"Citywide","Respiratory",209,648,214,287,1358,287,209,"Tuesday",2016,2016-07-01,263
"3125",2017-03-22,"Citywide","Respiratory",182,566,176,276,1200,276,182,"Wednesday",2016,2016-07-01,264
"3132",2017-03-23,"Citywide","Respiratory",192,562,180,273,1207,273,192,"Thursday",2016,2016-07-01,265
"3139",2017-03-24,"Citywide","Respiratory",173,582,151,290,1196,290,173,"Friday",2016,2016-07-01,266
"3146",2017-03-25,"Citywide","Respiratory",228,527,147,225,1127,225,228,"Saturday",2016,2016-07-01,267
"3153",2017-03-26,"Citywide","Respiratory",215,538,199,202,1154,202,215,"Sunday",2016,2016-07-01,268
"3160",2017-03-27,"Citywide","Respiratory",233,789,244,365,1631,365,233,"Monday",2016,2016-07-01,269
"3167",2017-03-28,"Citywide","Respiratory",211,663,236,294,1404,294,211,"Tuesday",2016,2016-07-01,270
"3174",2017-03-29,"Citywide","Respiratory",206,673,203,312,1394,312,206,"Wednesday",2016,2016-07-01,271
"3181",2017-03-30,"Citywide","Respiratory",222,656,157,288,1323,288,222,"Thursday",2016,2016-07-01,272
"3188",2017-03-31,"Citywide","Respiratory",166,528,187,240,1121,240,166,"Friday",2016,2016-07-01,273
"3195",2017-04-01,"Citywide","Respiratory",205,531,170,211,1117,211,205,"Saturday",2016,2016-07-01,274
"3202",2017-04-02,"Citywide","Respiratory",229,540,223,250,1242,250,229,"Sunday",2016,2016-07-01,275
"3209",2017-04-03,"Citywide","Respiratory",225,703,291,354,1573,354,225,"Monday",2016,2016-07-01,276
"3216",2017-04-04,"Citywide","Respiratory",225,710,265,315,1515,315,225,"Tuesday",2016,2016-07-01,277
"3223",2017-04-05,"Citywide","Respiratory",226,654,196,293,1369,293,226,"Wednesday",2016,2016-07-01,278
"3230",2017-04-06,"Citywide","Respiratory",190,633,186,268,1277,268,190,"Thursday",2016,2016-07-01,279
"3237",2017-04-07,"Citywide","Respiratory",213,655,186,320,1374,320,213,"Friday",2016,2016-07-01,280
"3244",2017-04-08,"Citywide","Respiratory",222,538,151,291,1202,291,222,"Saturday",2016,2016-07-01,281
"3251",2017-04-09,"Citywide","Respiratory",233,516,176,250,1175,250,233,"Sunday",2016,2016-07-01,282
"3258",2017-04-10,"Citywide","Respiratory",227,690,171,365,1453,365,227,"Monday",2016,2016-07-01,283
"3265",2017-04-11,"Citywide","Respiratory",221,600,194,307,1322,307,221,"Tuesday",2016,2016-07-01,284
"3272",2017-04-12,"Citywide","Respiratory",237,608,139,301,1285,301,237,"Wednesday",2016,2016-07-01,285
"3279",2017-04-13,"Citywide","Respiratory",210,590,158,310,1268,310,210,"Thursday",2016,2016-07-01,286
"3286",2017-04-14,"Citywide","Respiratory",242,537,125,255,1159,255,242,"Friday",2016,2016-07-01,287
"3293",2017-04-15,"Citywide","Respiratory",241,541,122,274,1178,274,241,"Saturday",2016,2016-07-01,288
"3300",2017-04-16,"Citywide","Respiratory",220,520,126,293,1159,293,220,"Sunday",2016,2016-07-01,289
"3307",2017-04-17,"Citywide","Respiratory",243,726,108,373,1450,373,243,"Monday",2016,2016-07-01,290
"3314",2017-04-18,"Citywide","Respiratory",209,571,103,310,1193,310,209,"Tuesday",2016,2016-07-01,291
"3321",2017-04-19,"Citywide","Respiratory",168,673,118,311,1270,311,168,"Wednesday",2016,2016-07-01,292
"3328",2017-04-20,"Citywide","Respiratory",175,654,112,324,1265,324,175,"Thursday",2016,2016-07-01,293
"3335",2017-04-21,"Citywide","Respiratory",173,596,89,282,1140,282,173,"Friday",2016,2016-07-01,294
"3342",2017-04-22,"Citywide","Respiratory",196,515,76,264,1051,264,196,"Saturday",2016,2016-07-01,295
"3349",2017-04-23,"Citywide","Respiratory",199,532,97,250,1078,250,199,"Sunday",2016,2016-07-01,296
"3356",2017-04-24,"Citywide","Respiratory",207,647,139,327,1320,327,207,"Monday",2016,2016-07-01,297
"3363",2017-04-25,"Citywide","Respiratory",131,689,92,312,1224,312,131,"Tuesday",2016,2016-07-01,298
"3370",2017-04-26,"Citywide","Respiratory",172,612,108,312,1204,312,172,"Wednesday",2016,2016-07-01,299
"3377",2017-04-27,"Citywide","Respiratory",155,620,124,291,1190,291,155,"Thursday",2016,2016-07-01,300
"3384",2017-04-28,"Citywide","Respiratory",139,531,114,297,1081,297,139,"Friday",2016,2016-07-01,301
"3391",2017-04-29,"Citywide","Respiratory",150,516,134,272,1072,272,150,"Saturday",2016,2016-07-01,302
"3398",2017-04-30,"Citywide","Respiratory",187,517,167,228,1099,228,187,"Sunday",2016,2016-07-01,303
"3405",2017-05-01,"Citywide","Respiratory",176,675,249,319,1419,319,176,"Monday",2016,2016-07-01,304
"3412",2017-05-02,"Citywide","Respiratory",167,553,195,286,1201,286,167,"Tuesday",2016,2016-07-01,305
"3419",2017-05-03,"Citywide","Respiratory",154,608,164,281,1207,281,154,"Wednesday",2016,2016-07-01,306
"3426",2017-05-04,"Citywide","Respiratory",165,600,226,243,1234,243,165,"Thursday",2016,2016-07-01,307
"3433",2017-05-05,"Citywide","Respiratory",147,630,180,242,1199,242,147,"Friday",2016,2016-07-01,308
"3440",2017-05-06,"Citywide","Respiratory",174,508,175,263,1120,263,174,"Saturday",2016,2016-07-01,309
"3447",2017-05-07,"Citywide","Respiratory",184,521,198,262,1165,262,184,"Sunday",2016,2016-07-01,310
"3454",2017-05-08,"Citywide","Respiratory",217,715,254,339,1525,339,217,"Monday",2016,2016-07-01,311
"3461",2017-05-09,"Citywide","Respiratory",187,684,255,300,1426,300,187,"Tuesday",2016,2016-07-01,312
"3468",2017-05-10,"Citywide","Respiratory",169,646,208,328,1351,328,169,"Wednesday",2016,2016-07-01,313
"3475",2017-05-11,"Citywide","Respiratory",204,596,206,261,1267,261,204,"Thursday",2016,2016-07-01,314
"3482",2017-05-12,"Citywide","Respiratory",156,573,196,264,1189,264,156,"Friday",2016,2016-07-01,315
"3489",2017-05-13,"Citywide","Respiratory",147,521,131,217,1016,217,147,"Saturday",2016,2016-07-01,316
